DATAFLOW,LAST UPDATE,freq,itm_newa,indic_ag,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2011,906.72,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2012,1029.21,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2013,717.58,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2014,769.41,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2015,728.38,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2016,749.33,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2017,754.07,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2018,776.49,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2019,801.11,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,AT,2020,884.19,e
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2011,465.34,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2012,606.09,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2013,513.17,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2014,451.63,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2015,453.76,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2016,305.91,
ESTAT:AACT_EAA01$DEFAULTVIEW(1.0),09/04/21 23:00:00,A,01000,PROD_BP,MIO_EUR,BE,2017,376.77,
